,Dept.,Ori,City
1,Anaheim Police Department,CA0300100,Anaheim
2,Brea Police Department,CA0300200,Brea
3,Buena Park Police Department,CA0300300,Buena Park
4,Costa Mesa Police Department,CA0300400,Costa Mesa
5,Cypress Police Department,CA0300500,Cypress
6,La Palma Police Department,CA0300600,La Palma
7,Fountain Valley Police Department,CA0300700,Fountain Valley
8,Fullerton Police Department,CA0300800,Fullerton
9,Garden Grove Police Department,CA0300900,Garden Grove
10,Huntington Beach Police Department,CA0301000,Huntington Beach
11,Laguna Beach Police Department,CA0301100,Laguna Beach
12,La Habra Police Department,CA0301200,La Habra
13,Los Alamitos Police Department,CA0301300,Los Alamitos
14,Newport Beach Police Department,CA0301400,Newport Beach
15,Orange Police Department,CA0301500,Orange
16,Placentia Police Department,CA0301600,Placentia
17,San Clemente Police Department,CA0301700,San Clemente
18,San Juan Capistrano Police Department,CA0301800,San Juan Capistrano
19,Santa Ana Police Department,CA0301900,Santa Ana
20,Seal Beach Police Department,CA0302000,Seal Beach
21,Stanton Police Department,CA0302100,Stanton
22,Tustin Police Department,CA0302200,Tustin
23,Villa Park Police Department,CA0302300,Villa Park
24,Westminster Police Department,CA0302400,Westminster
25,Yorba Linda Police Department,CA0302500,Yorba Linda
26,Irvine Police Department,CA0302600,Irvine
31,Mission Viejo Police Department,CA030350X,Mission Viejo
32,Dana Point Police Department,CA030360X,Dana Point
33,Laguna Niguel Police Department,CA030390X,Laguna Niguel
34,Laguna Hills Police Department,CA030420X,Laguna Hills
35,Lake Forest Police Department,CA030430X,Lake Forest
36,Laguna Woods Police Department,CA030470X,Laguna Woods
37,Rancho Santa Margarita Police Department,CA030480X,Rancho Santa Margarita
38,Aliso Viejo Police Department,CA030490X,Aliso Viejo
