,Dept.,County,Ori,Agg. Assult,Sex Offences,Manslaughter Neg.,Murder & Nonneg. Man.,Rape,Robbery,Simp. Assult,Humman Traff. (Commercial SA),Humman Traff. (Invol. Ser.),Offences Total
0,Orange County Sheriff's Office,ORANGE,CA0300000,183,16,1,3,16,22,160,0,0,401
1,Anaheim Police Department,ORANGE,CA0300100,737,113,1,15,23,155,775,0,0,1819
2,Brea Police Department,ORANGE,CA0300200,24,7,0,0,0,5,86,0,0,122
3,Buena Park Police Department,ORANGE,CA0300300,97,21,0,1,4,28,140,0,0,291
4,Costa Mesa Police Department,ORANGE,CA0300400,204,34,0,0,6,45,146,0,0,435
5,Cypress Police Department,ORANGE,CA0300500,48,6,0,1,2,4,29,0,0,90
6,La Palma Police Department,ORANGE,CA0300600,20,3,0,0,0,3,27,0,0,53
7,Fountain Valley Police Department,ORANGE,CA0300700,50,2,0,0,1,10,80,0,0,143
8,Fullerton Police Department,ORANGE,CA0300800,308,53,2,2,12,43,541,0,0,961
9,Garden Grove Police Department,ORANGE,CA0300900,282,43,0,9,18,68,238,0,0,658
10,Huntington Beach Police Department,ORANGE,CA0301000,267,40,1,2,4,53,447,0,0,814
11,Laguna Beach Police Department,ORANGE,CA0301100,64,8,0,1,3,6,127,0,0,209
12,La Habra Police Department,ORANGE,CA0301200,103,25,0,2,4,12,119,0,0,265
13,Los Alamitos Police Department,ORANGE,CA0301300,10,1,0,0,0,0,12,0,0,23
14,Newport Beach Police Department,ORANGE,CA0301400,129,13,0,2,1,25,189,0,0,359
15,Orange Police Department,ORANGE,CA0301500,188,21,0,1,6,42,240,0,0,498
16,Placentia Police Department,ORANGE,CA0301600,87,6,0,2,1,12,89,0,0,197
17,San Clemente Police Department,ORANGE,CA0301700,96,12,0,1,2,9,88,0,0,208
18,San Juan Capistrano Police Department,ORANGE,CA0301800,59,5,0,0,0,8,45,0,0,117
19,Santa Ana Police Department,ORANGE,CA0301900,446,116,0,16,46,122,333,0,0,1079
20,Seal Beach Police Department,ORANGE,CA0302000,26,2,0,1,0,6,46,0,0,81
21,Stanton Police Department,ORANGE,CA0302100,63,9,0,2,2,21,46,0,0,143
22,Tustin Police Department,ORANGE,CA0302200,164,19,0,2,8,37,178,0,0,408
23,Villa Park Police Department,ORANGE,CA0302300,2,0,0,0,0,0,8,0,0,10
24,Westminster Police Department,ORANGE,CA0302400,176,25,1,4,3,38,188,0,0,435
25,Yorba Linda Police Department,ORANGE,CA0302500,22,1,0,0,0,5,29,0,0,57
26,Irvine Police Department,ORANGE,CA0302600,213,16,0,2,4,30,171,0,0,436
27,California State University: Fullerton,ORANGE,CA0302700,3,0,0,0,1,0,12,0,0,16
28,Union Pacific Railroad: Orange County,ORANGE,CA030290X,1,0,0,0,0,0,0,0,0,1
29,Department of Parks and Recreation: Orange Coast,ORANGE,CA0303200,3,1,0,0,0,0,7,0,0,11
30,Fairview Developmental Center,ORANGE,CA030340X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,Mission Viejo Police Department,ORANGE,CA030350X,77,5,0,1,0,6,59,0,0,148
32,Dana Point Police Department,ORANGE,CA030360X,46,8,0,0,0,10,65,0,0,129
33,Laguna Niguel Police Department,ORANGE,CA030390X,56,3,0,0,1,6,60,0,0,126
34,Laguna Hills Police Department,ORANGE,CA030420X,41,4,0,0,0,6,33,0,0,84
35,Lake Forest Police Department,ORANGE,CA030430X,97,7,0,1,2,6,91,0,0,204
36,Laguna Woods Police Department,ORANGE,CA030470X,3,0,0,0,0,1,3,0,0,7
37,Rancho Santa Margarita Police Department,ORANGE,CA030480X,36,2,0,0,2,3,28,0,0,71
38,Aliso Viejo Police Department,ORANGE,CA030490X,44,0,1,0,1,5,34,0,0,85
39,Irvine Valley College,ORANGE,CA0309600,0,0,0,0,0,0,0,0,0,0
40,University of California: Irvine,ORANGE,CA0309700,7,1,0,0,2,2,6,0,0,18
41,Highway Patrol: Orange County,ORANGE,CA0309900,25,3,6,0,0,3,57,0,0,94
